Comment,Designator,Footprint,LCSC
10uF,"C1,C2,C4",C1206,C13585
TP4056,U2,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C16581
22k,R7,R0805,C17560
1k,"R1,R2,R3,R4",R0603,C21190
RED,D2,LED0603-RD,C2286
GREEN,D1,LED0805-R-RD,C2297
2.2uF,"C3,C5",C0603,C23630
SS12D10G4_071,U1,SW-TH_SHOU-HAN_SS12D10G4,C2887259
3k,R5,R0603,C4211
DRV8833PWP,U3,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,C50506
